round,period,step,bids,asks,cbid,cask,trade,price,bprofits,sprofits
1,0,49,"[None, 0.1, 0.12, 0.25]","[0.75, 0.82, 0.68, 0.62]",0.25,0.62,0,,"[1.09, 0.72, 0.08, 0.33]","[0.31, 0.86, 0.76, 0.45]"
2,0,0,"[0.02, 0.44, 0.21, 0.13]","[0.64, 0.77, 0.27, 0.59]",,,1,0.35,"[0.0, 0.26, 0.0, 0.0]","[0.0, 0.0, 0.32, 0.0]"
2,0,1,"[0.14, 0.43, 0.24, 0.02]","[0.9, 0.26, 0.5, 0.33]",,,1,0.34,"[0.0, 0.44, 0.0, 0.0]","[0.0, 0.3, 0.32, 0.0]"
2,0,2,"[0.19, 0.21, 0.54, 0.43]","[0.52, 0.88, 0.77, 0.41]",,,1,0.47,"[0.0, 0.44, 0.45, 0.0]","[0.0, 0.3, 0.32, 0.41]"
2,0,3,"[0.17, 0.08, 0.74, 0.89]","[0.8, 0.66, 0.33, 0.73]",,,1,0.61,"[0.0, 0.44, 0.45, 0.37]","[0.0, 0.3, 0.84, 0.41]"
2,0,4,"[0.49, 0.35, 0.4, 0.01]","[0.4, 0.41, 0.87, 0.59]",,,1,0.45,"[0.49, 0.44, 0.45, 0.37]","[0.1, 0.3, 0.84, 0.41]"
2,0,5,"[0.07, 0.16, 0.36, 0.3]","[0.95, 0.53, 0.55, 0.58]",0.36,0.53,0,,"[0.49, 0.44, 0.45, 0.37]","[0.1, 0.3, 0.84, 0.41]"
2,0,6,"[0.42, 0.46, 0.48, 0.66]","[0.82, 0.77, 0.98, 0.9]",,,1,0.72,"[0.49, 0.44, 0.45, 0.58]","[0.1, 0.62, 0.84, 0.41]"
2,0,7,"[0.41, 0.32, 0.0, 0.74]","[0.75, 0.97, 0.96, 0.58]",,,1,0.66,"[0.49, 0.44, 0.45, 0.82]","[0.1, 0.62, 0.84, 0.99]"
2,0,8,"[0.08, 0.04, 0.56, 0.7]","[0.49, 0.62, 0.67, 0.67]",,,1,0.59,"[0.49, 0.44, 0.45, 1.07]","[0.26, 0.62, 0.84, 0.99]"
2,0,9,"[0.14, 0.47, 0.07, None]","[0.63, 0.87, 0.62, 0.55]",0.47,0.55,0,,"[0.49, 0.44, 0.45, 1.07]","[0.26, 0.62, 0.84, 0.99]"
2,0,10,"[0.27, 0.14, 0.14, None]","[1.0, 0.73, 0.73, 0.92]",0.27,0.73,0,,"[0.49, 0.44, 0.45, 1.07]","[0.26, 0.62, 0.84, 0.99]"
2,0,11,"[0.47, 0.38, 0.6, None]","[0.55, 0.63, 0.94, 0.82]",,,1,0.57,"[0.49, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 0.99]"
2,0,12,"[0.43, 0.02, 0.45, None]","[0.87, 0.91, 0.85, 0.68]",0.45,0.68,0,,"[0.49, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 0.99]"
2,0,13,"[0.53, 0.15, 0.05, None]","[0.77, 0.99, 0.98, 0.57]",,,1,0.55,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,14,"[0.19, 0.35, 0.09, None]","[0.79, 0.64, 0.9, 0.96]",0.35,0.64,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,15,"[0.45, 0.14, 0.19, None]","[0.8, 0.89, 0.5, 0.89]",0.45,0.5,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,16,"[0.06, 0.44, 0.27, None]","[0.93, 0.67, 0.75, 0.77]",0.44,0.67,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,17,"[0.34, 0.0, 0.17, None]","[0.93, 0.81, 0.77, 0.84]",0.34,0.77,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,18,"[0.16, 0.44, 0.13, None]","[0.91, 0.77, 0.7, 0.83]",0.44,0.7,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,19,"[0.31, 0.14, 0.3, None]","[0.96, 0.58, 0.78, 0.87]",0.31,0.58,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,20,"[0.28, 0.25, 0.11, None]","[0.71, 0.99, 0.72, 0.85]",0.28,0.71,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,21,"[0.48, 0.13, 0.33, None]","[0.79, 0.93, 0.96, 0.86]",0.48,0.79,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,22,"[0.51, 0.41, 0.42, None]","[0.72, 0.83, 0.94, 0.82]",0.51,0.72,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,23,"[0.19, 0.36, 0.26, None]","[0.92, 0.8, 0.86, 0.82]",0.36,0.8,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,24,"[0.35, 0.08, 0.11, None]","[0.85, 0.65, 0.94, 0.72]",0.35,0.65,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,25,"[0.47, 0.3, 0.53, None]","[0.93, 0.96, 0.91, 0.84]",0.53,0.84,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,26,"[0.31, 0.24, 0.33, None]","[0.84, 0.93, 0.71, 0.7]",0.33,0.7,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,27,"[0.0, 0.24, 0.09, None]","[0.86, 0.82, 0.51, 0.76]",0.24,0.51,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,28,"[0.26, 0.07, 0.01, None]","[0.83, 0.85, 0.64, 0.71]",0.26,0.64,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,29,"[0.29, 0.3, 0.2, None]","[0.75, 0.86, 0.61, 0.83]",0.3,0.61,0,,"[0.51, 0.44, 0.68, 1.07]","[0.31, 0.62, 0.84, 1.29]"
2,0,30,"[0.08, 0.32, 0.54, None]","[0.99, 0.6, 0.48, 0.96]",,,1,0.51,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,31,"[0.15, 0.19, 0.2, None]","[0.98, 0.52, 0.54, 0.91]",0.2,0.52,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,32,"[0.53, 0.29, 0.31, None]","[0.89, 0.7, 0.62, 0.76]",0.53,0.62,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,33,"[0.27, 0.25, 0.11, None]","[0.74, 0.92, 0.72, 0.97]",0.27,0.72,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,34,"[0.1, 0.11, 0.21, None]","[0.74, 0.92, 0.67, 0.89]",0.21,0.67,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,35,"[0.31, 0.18, 0.07, None]","[0.73, 0.6, 0.84, 0.77]",0.31,0.6,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,36,"[0.46, 0.2, 0.47, None]","[0.84, 0.81, 0.84, 0.7]",0.47,0.7,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,37,"[0.06, 0.37, 0.07, None]","[0.69, 0.77, 0.71, 0.93]",0.37,0.69,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,38,"[0.51, 0.05, 0.4, None]","[0.92, 0.58, 0.92, 0.73]",0.51,0.58,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,39,"[0.38, 0.44, 0.17, None]","[0.93, 0.62, 1.0, 0.72]",0.44,0.62,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,40,"[0.23, 0.25, 0.21, None]","[0.93, 0.52, 0.49, 0.9]",0.25,0.49,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,41,"[0.39, 0.0, 0.01, None]","[0.75, 0.57, 0.89, 0.82]",0.39,0.57,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,42,"[0.03, 0.45, 0.07, None]","[0.85, 0.76, 0.69, 0.72]",0.45,0.69,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,43,"[0.37, 0.09, 0.43, None]","[0.78, 0.9, 0.48, 0.92]",0.43,0.48,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,44,"[0.54, 0.08, 0.05, None]","[0.69, 0.93, 0.71, 0.95]",0.54,0.69,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,45,"[0.08, 0.19, 0.27, None]","[0.72, 0.75, 0.58, 0.88]",0.27,0.58,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,46,"[0.25, 0.32, 0.1, None]","[0.99, 0.56, 0.76, 0.85]",0.32,0.56,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,47,"[0.37, 0.19, 0.52, None]","[0.91, 0.59, 0.9, 1.0]",0.52,0.59,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,48,"[0.46, 0.4, 0.34, None]","[0.77, 0.81, 0.77, 0.95]",0.46,0.77,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
2,0,49,"[0.23, 0.4, 0.23, None]","[0.8, 0.62, 0.88, 0.93]",0.4,0.62,0,,"[0.51, 0.44, 0.76, 1.07]","[0.31, 0.62, 0.88, 1.29]"
3,0,0,"[0.01, 0.81, 0.6, 0.47]","[0.18, 0.38, 0.81, 0.85]",,,1,0.49,"[0.0, 0.35, 0.0, 0.0]","[0.46, 0.0, 0.0, 0.0]"
3,0,1,"[0.71, 0.13, 0.75, 0.87]","[0.52, 0.47, 0.37, 0.59]",,,1,0.62,"[0.0, 0.35, 0.0, 0.27]","[0.46, 0.0, 0.37, 0.0]"
3,0,2,"[0.48, 0.34, 0.66, 0.45]","[0.17, 0.24, 0.94, 0.95]",,,1,0.42,"[0.0, 0.35, 0.5, 0.27]","[0.84, 0.0, 0.37, 0.0]"
3,0,3,"[0.52, 0.39, 0.07, 0.67]","[0.75, 0.13, 0.51, 0.69]",,,1,0.4,"[0.0, 0.35, 0.5, 0.72]","[0.84, 0.33, 0.37, 0.0]"
3,0,4,"[0.54, 0.26, 0.84, 0.68]","[0.79, 0.95, 0.58, 0.17]",,,1,0.51,"[0.0, 0.35, 0.85, 0.72]","[0.84, 0.33, 0.37, 0.49]"
3,0,5,"[0.36, 0.28, 0.06, 0.22]","[0.84, 0.17, 0.62, 0.79]",,,1,0.27,"[0.61, 0.35, 0.85, 0.72]","[0.84, 0.49, 0.37, 0.49]"
3,0,6,"[0.04, 0.76, 0.31, 0.41]","[0.13, 0.94, 0.47, 0.49]",,,1,0.45,"[0.61, 0.66, 0.85, 0.72]","[1.21, 0.49, 0.37, 0.49]"
3,0,7,"[0.23, 0.34, 0.37, 0.78]","[0.53, 0.99, 0.84, 0.14]",,,1,0.46,"[0.61, 0.66, 0.85, 1.07]","[1.21, 0.49, 0.37, 0.88]"
3,0,8,"[0.53, 0.41, 0.26, 0.33]","[0.61, 0.79, 0.36, 0.76]",,,1,0.45,"[0.91, 0.66, 0.85, 1.07]","[1.21, 0.49, 0.56, 0.88]"
3,0,9,"[0.08, 0.18, 0.28, 0.41]","[0.85, 0.66, 0.42, 0.83]",,,1,0.41,"[0.91, 0.66, 0.85, 1.14]","[1.21, 0.49, 0.63, 0.88]"
3,0,10,"[0.59, 0.28, 0.05, None]","[0.48, 0.76, 0.43, 0.84]",,,1,0.51,"[1.04, 0.66, 0.85, 1.14]","[1.21, 0.49, 0.77, 0.88]"
3,0,11,"[0.12, 0.45, 0.15, None]","[0.59, 0.8, None, 0.86]",0.45,0.59,0,,"[1.04, 0.66, 0.85, 1.14]","[1.21, 0.49, 0.77, 0.88]"
3,0,12,"[0.11, 0.55, 0.51, None]","[0.65, 0.65, None, 0.45]",,,1,0.5,"[1.04, 0.84, 0.85, 1.14]","[1.21, 0.49, 0.77, 1.02]"
3,0,13,"[0.24, 0.18, 0.19, None]","[0.81, 0.65, None, 0.72]",0.24,0.65,0,,"[1.04, 0.84, 0.85, 1.14]","[1.21, 0.49, 0.77, 1.02]"
3,0,14,"[0.02, 0.16, 0.44, None]","[0.66, 0.76, None, 0.77]",0.44,0.66,0,,"[1.04, 0.84, 0.85, 1.14]","[1.21, 0.49, 0.77, 1.02]"
3,0,15,"[0.24, 0.19, 0.05, None]","[0.56, 0.69, None, 0.74]",0.24,0.56,0,,"[1.04, 0.84, 0.85, 1.14]","[1.21, 0.49, 0.77, 1.02]"
3,0,16,"[0.29, 0.23, 0.44, None]","[0.97, 0.82, None, 0.68]",0.44,0.68,0,,"[1.04, 0.84, 0.85, 1.14]","[1.21, 0.49, 0.77, 1.02]"
3,0,17,"[0.21, 0.29, 0.19, None]","[0.51, 0.74, None, 0.91]",0.29,0.51,0,,"[1.04, 0.84, 0.85, 1.14]","[1.21, 0.49, 0.77, 1.02]"
3,0,18,"[0.29, 0.2, 0.12, None]","[0.57, 0.86, None, 0.77]",0.29,0.57,0,,"[1.04, 0.84, 0.85, 1.14]","[1.21, 0.49, 0.77, 1.02]"
3,0,19,"[0.24, 0.17, 0.05, None]","[0.93, 0.76, None, 1.0]",0.24,0.76,0,,"[1.04, 0.84, 0.85, 1.14]","[1.21, 0.49, 0.77, 1.02]"
3,0,20,"[0.11, 0.0, 0.45, None]","[0.77, 0.68, None, 0.75]",0.45,0.68,0,,"[1.04, 0.84, 0.85, 1.14]","[1.21, 0.49, 0.77, 1.02]"
3,0,21,"[0.19, 0.03, 0.29, None]","[0.87, 0.79, None, 0.78]",0.29,0.78,0,,"[1.04, 0.84, 0.85, 1.14]","[1.21, 0.49, 0.77, 1.02]"
3,0,22,"[0.28, 0.3, 0.36, None]","[0.74, 0.89, None, 0.76]",0.36,0.74,0,,"[1.04, 0.84, 0.85, 1.14]","[1.21, 0.49, 0.77, 1.02]"
3,0,23,"[0.42, 0.02, 0.46, None]","[0.95, 0.76, None, 0.73]",0.46,0.73,0,,"[1.04, 0.84, 0.85, 1.14]","[1.21, 0.49, 0.77, 1.02]"
3,0,24,"[0.04, 0.04, 0.47, None]","[0.6, 0.88, None, 0.72]",0.47,0.6,0,,"[1.04, 0.84, 0.85, 1.14]","[1.21, 0.49, 0.77, 1.02]"
3,0,25,"[0.24, 0.08, 0.14, None]","[0.63, 0.91, None, 0.99]",0.24,0.63,0,,"[1.04, 0.84, 0.85, 1.14]","[1.21, 0.49, 0.77, 1.02]"
3,0,26,"[0.02, 0.33, 0.48, None]","[0.53, 0.9, None, 0.72]",,,1,0.51,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,27,"[0.34, 0.17, 0.25, None]","[None, 0.92, None, 0.98]",0.34,0.92,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,28,"[0.4, 0.23, 0.45, None]","[None, 0.74, None, 0.94]",0.45,0.74,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,29,"[0.22, 0.07, 0.08, None]","[None, 0.68, None, 0.94]",0.22,0.68,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,30,"[0.41, 0.26, 0.0, None]","[None, 0.77, None, 0.95]",0.41,0.77,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,31,"[0.25, 0.14, 0.15, None]","[None, 0.77, None, 0.9]",0.25,0.77,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,32,"[0.28, 0.04, 0.47, None]","[None, 0.81, None, 0.77]",0.47,0.77,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,33,"[0.39, 0.25, 0.42, None]","[None, 0.81, None, 0.81]",0.42,0.81,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,34,"[0.03, 0.26, 0.09, None]","[None, 0.94, None, 0.94]",0.26,0.94,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,35,"[0.27, 0.01, 0.3, None]","[None, 0.91, None, 0.93]",0.3,0.91,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,36,"[0.21, 0.34, 0.39, None]","[None, 0.8, None, 0.7]",0.39,0.7,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,37,"[0.06, 0.12, 0.0, None]","[None, 0.97, None, 0.77]",0.12,0.77,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,38,"[0.24, 0.17, 0.48, None]","[None, 0.76, None, 0.85]",0.48,0.76,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,39,"[0.31, 0.23, 0.27, None]","[None, 0.77, None, 0.94]",0.31,0.77,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,40,"[0.28, 0.1, 0.13, None]","[None, 0.83, None, 0.86]",0.28,0.83,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,41,"[0.01, 0.18, 0.31, None]","[None, 0.65, None, 0.94]",0.31,0.65,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,42,"[0.31, 0.03, 0.35, None]","[None, 0.98, None, 0.82]",0.35,0.82,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,43,"[0.34, 0.21, 0.25, None]","[None, 0.68, None, 0.9]",0.34,0.68,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,44,"[0.43, 0.13, 0.42, None]","[None, 0.65, None, 0.98]",0.43,0.65,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,45,"[0.28, 0.29, 0.11, None]","[None, 0.75, None, 0.84]",0.29,0.75,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,46,"[0.36, 0.08, 0.22, None]","[None, 0.81, None, 0.9]",0.36,0.81,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,47,"[0.01, 0.19, 0.35, None]","[None, 0.86, None, 0.9]",0.35,0.86,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,48,"[0.13, 0.22, 0.03, None]","[None, 0.93, None, 0.93]",0.22,0.93,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
3,0,49,"[0.01, 0.34, 0.15, None]","[None, 0.68, None, 0.94]",0.34,0.68,0,,"[1.04, 0.84, 0.88, 1.14]","[1.25, 0.49, 0.77, 1.02]"
